race,fips_char,place,id,fname,lname,party,pab,votes,incumbent
President,01,Alabama,0,Donald,Trump,REP,R,1430540,1
President,01,Alabama,0,Joe,Biden,DEM,D,834968,0
President,01,Alabama,0,Jo,Jorgensen,LIB,O,24894,0
President,01,Alabama,0,,Write-ins,WRI,O,7222,0
President,01,Cherokee County,01019,Donald,Trump,REP,R,10562,1
President,01,Cherokee County,01019,Joe,Biden,DEM,D,1619,0
President,01,Cherokee County,01019,Jo,Jorgensen,LIB,O,82,0
President,01,Cherokee County,01019,,Write-ins,WRI,O,12,0
President,01,Chilton County,01021,Donald,Trump,REP,R,16052,1
President,01,Chilton County,01021,Joe,Biden,DEM,D,3056,0
President,01,Chilton County,01021,Jo,Jorgensen,LIB,O,123,0
President,01,Chilton County,01021,,Write-ins,WRI,O,29,0
President,01,Choctaw County,01023,Donald,Trump,REP,R,4294,1
President,01,Choctaw County,01023,Joe,Biden,DEM,D,3126,0
President,01,Choctaw County,01023,Jo,Jorgensen,LIB,O,38,0
President,01,Choctaw County,01023,,Write-ins,WRI,O,3,0
President,01,Clarke County,01025,Donald,Trump,REP,R,7310,1
President,01,Clarke County,01025,Joe,Biden,DEM,D,5730,0
President,01,Clarke County,01025,Jo,Jorgensen,LIB,O,48,0
President,01,Clarke County,01025,,Write-ins,WRI,O,14,0
President,01,Clay County,01027,Donald,Trump,REP,R,5589,1
President,01,Clay County,01027,Joe,Biden,DEM,D,1262,0
President,01,Clay County,01027,Jo,Jorgensen,LIB,O,53,0
President,01,Clay County,01027,,Write-ins,WRI,O,9,0
President,01,Cleburne County,01029,Donald,Trump,REP,R,6472,1
President,01,Cleburne County,01029,Joe,Biden,DEM,D,672,0
President,01,Cleburne County,01029,Jo,Jorgensen,LIB,O,58,0
President,01,Cleburne County,01029,,Write-ins,WRI,O,8,0
President,01,Coffee County,01031,Donald,Trump,REP,R,16832,1
President,01,Coffee County,01031,Joe,Biden,DEM,D,5050,0
President,01,Coffee County,01031,Jo,Jorgensen,LIB,O,262,0
President,01,Coffee County,01031,,Write-ins,WRI,O,36,0
President,01,Colbert County,01033,Donald,Trump,REP,R,17311,1
President,01,Colbert County,01033,Joe,Biden,DEM,D,7057,0
President,01,Colbert County,01033,Jo,Jorgensen,LIB,O,239,0
President,01,Colbert County,01033,,Write-ins,WRI,O,61,0
President,01,Conecuh County,01035,Donald,Trump,REP,R,3435,1
President,01,Conecuh County,01035,Joe,Biden,DEM,D,2951,0
President,01,Conecuh County,01035,Jo,Jorgensen,LIB,O,32,0
President,01,Conecuh County,01035,,Write-ins,WRI,O,1,0
President,01,Coosa County,01037,Donald,Trump,REP,R,3626,1
President,01,Coosa County,01037,Joe,Biden,DEM,D,1794,0
